,Year,Type,Country,Sex ,Age,Fatal (Y/N),Month,Day,date_clean,Age_clean,Species_clean_2,Time_clean,Activity_clean_1,Activity_clean_2
3138,1977,Unprovoked,south africa,M,25,N,10,30,1977-10-30,25.0,white shark,,spearfishing,spearfishing
3139,1977,Unprovoked,australia,M,17,N,08,31,1977-08-31,17.0,white shark,,surfing,surfing
3140,1977,Unprovoked,australia,M,25,Y,08,23,1977-08-23,25.0,other/NA,,floating,Other
3141,1977,Boat,south africa,M,,N,08,19,1977-08-19,,white shark,,fishing,fishing
3142,1977,Unprovoked,usa,M,20,N,08,14,1977-08-14,20.0,white shark,P.M.,free diving,free diving
3143,1977,Invalid,usa,M,17,UNKNOWN,08,05,1977-08-05,17.0,other/NA,A.M.,wading,wading
3144,1977,Sea Disaster,usa,M,21,N,07,02,1977-07-02,21.0,other/NA,P.M.,fishing,fishing
3145,1977,Provoked,usa,M,27,N,06,26,1977-06-26,27.0,bull shark,P.M.,spearfishing,spearfishing
3146,1977,Unprovoked,usa,M,25,N,06,06,1977-06-06,25.0,bull shark,P.M.,collecting,Other
3147,1977,Boat,south africa,M,,N,05,26,1977-05-26,,other/NA,P.M.,fishing,fishing
3148,1977,Invalid,australia,M,,UNKNOWN,05,16,1977-05-16,,other/NA,,,Other
3149,1977,Unprovoked,australia,M,,N,04,26,1977-04-26,,other/NA,,,Other
3150,1977,Unprovoked,usa,M,,N,04,21,1977-04-21,,other/NA,,swimming,swimming
3151,1977,Unprovoked,south africa,M,31,N,03,17,1977-03-17,31.0,other/NA,,swimming,swimming
3152,1977,Sea Disaster,australia,M,32,N,03,13,1977-03-13,32.0,other/NA,,clinging,Other
3153,1977,Sea Disaster,australia,M,74 ,Y,03,13,1977-03-13,74.0,other/NA,,clinging,Other
3154,1977,Sea Disaster,australia,M,45 ,Y,03,13,1977-03-13,45.0,other/NA,P.M.,clinging,Other
3155,1977,Unprovoked,australia,M,24,N,02,26,1977-02-26,24.0,other/NA,,drawing,Other
3156,1977,Invalid,australia,M,,UNKNOWN,02,04,1977-02-04,,other/NA,,,Other
3157,1977,Unprovoked,new caledonia,,,N,02,01,1977-02-01,,other/NA,,,Other
3158,1977,Unprovoked,mexico,M,,Y,01,01,1977-01-01,,other/NA,,swimming,swimming
3159,1976,Unprovoked,australia,M,,N,12,29,1976-12-29,,other/NA,A.M.,,Other
3160,1976,Unprovoked,usa,M,29,N,12,18,1976-12-18,29.0,white shark,A.M.,hookah diving,Other
3161,1976,Unprovoked,south africa,M,19,N,11,27,1976-11-27,19.0,white shark,,thrashing,Other
3162,1976,Invalid,australia,,,UNKNOWN,11,26,1976-11-26,,other/NA,,,Other
3163,1976,Unprovoked,usa,M,19,N,11,25,1976-11-25,19.0,other/NA,P.M.,surfing,surfing
3164,1976,Invalid,south africa,M,17,UNKNOWN,11,23,1976-11-23,17.0,other/NA,,swimming,swimming
3165,1976,Provoked,south africa,,,N,11,06,1976-11-06,,white shark,P.M.,fishing,fishing
